order_id,order_date,store_id,city,region,channel,customer_age_group,loyalty_tier,category,subcategory,unit_price,quantity,discount_rate,competitor_price,stock_level,promo_flag,holiday_flag,weather_temp_c
ORD20240912-S02-06356,2024-09-12,S02,Hamburg,South,In-Store,46-60,None,Clothing,Men,43.68,2,0.012,49.93,185,0,0,21.3
ORD20240226-S01-09319,2024-02-26,S01,Cologne,West,In-Store,26-35,None,Clothing,Women,92.81,3,0.004,106.24,171,0,0,9.1
ORD20241219-S10-02836,2024-12-19,S10,Frankfurt,North,Online,36-45,None,Grocery,Snacks,24.13,5,0.013,22.35,127,0,0,1.8
ORD20240517-S05-04344,2024-05-17,S05,Hamburg,South,In-Store,18-25,Silver,Home,Appliances,142.15,3,0.112,135.31,88,1,0,16.2
ORD20241119-S06-03045,2024-11-19,S06,Munich,North,In-Store,36-45,Silver,Clothing,Kids,60.62,5,0.035,64.97,50,0,0,5.6
ORD20240815-S02-11668,2024-08-15,S02,Cologne,West,Online,18-25,Gold,Clothing,Men,66.68,1,0.026,68.66,77,0,0,15.0
ORD20241208-S06-05948,2024-12-08,S06,Hamburg,West,In-Store,46-60,None,Electronics,Accessories,301.63,3,0.007,307.94,188,0,0,-0.4
ORD20240119-S10-02277,2024-01-19,S10,Cologne,West,Online,26-35,None,Grocery,Pantry,30.0,4,0.011,32.17,165,0,0,0.3
ORD20241214-S04-11166,2024-12-14,S04,Hamburg,South,In-Store,26-35,Silver,Beauty,Skincare,120.0,2,0.02,110.81,181,0,0,0.9
ORD20240828-S09-10301,2024-08-28,S09,Cologne,North,In-Store,26-35,None,Electronics,Accessories,1200.0,3,0.02,1356.25,147,0,0,19.7
ORD20240806-S04-06879,2024-08-06,S04,Frankfurt,North,Online,26-35,None,Electronics,Audio,881.68,4,0.03,908.43,99,0,0,15.6
ORD20241102-S09-00588,2024-11-02,S09,Hamburg,South,In-Store,18-25,None,Grocery,Fresh,21.53,4,0.047,19.91,69,0,0,5.3
ORD20240423-S10-10068,2024-04-23,S10,Hamburg,South,In-Store,46-60,None,Electronics,Laptops,482.08,4,0.023,524.03,126,0,0,12.3
ORD20240408-S07-01010,2024-04-08,S07,Munich,North,Online,18-25,Gold,Electronics,Laptops,3019.8500000000004,-8,0.019,658.84,178,0,0,10.5
ORD20241226-S10-06069,2024-12-26,S10,Frankfurt,West,In-Store,18-25,None,Clothing,Accessories,20.61,1,0.007,19.55,156,0,1,4.7
ORD20240207-S07-11021,2024-02-07,S07,Hamburg,West,Online,46-60,None,Home,Appliances,471.34,1,0.03,437.36,165,0,0,6.1
ORD20241202-S10-01529,2024-12-02,S10,Munich,West,Online,26-35,Silver,Home,Furniture,240.36,4,0.02,272.04,79,0,0,4.6
ORD20240814-S02-03639,2024-08-14,S02,Hamburg,West,In-Store,36-45,Silver,Clothing,Accessories,45.31,5,0.018,46.42,174,0,0,24.9
ORD20240514-S07-01137,2024-05-14,S07,Hamburg,West,Online,18-25,None,Grocery,Snacks,30.0,3,0.01,30.21,232,0,0,13.5
ORD20240115-S05-06705,2024-01-15,S05,Berlin,South,Online,26-35,Gold,Home,Appliances,220.51,5,0.007,222.83,191,0,0,1.9
ORD20240628-S06-08106,2024-06-28,S06,Cologne,West,Online,26-35,None,Beauty,Makeup,42.73,4,0.029,43.47,116,0,0,22.1
ORD20240331-S09-01903,2024-03-31,S09,Cologne,South,In-Store,36-45,Bronze,Beauty,Skincare,120.0,4,0.017,128.93,115,0,0,2.5
ORD20240918-S04-05280,2024-09-18,S04,Munich,South,Online,26-35,None,Electronics,Accessories,672.87,2,0.006,625.12,112,0,0,16.9
ORD20241114-S06-06606,2024-11-14,S06,Munich,South,In-Store,18-25,Bronze,Beauty,Makeup,38.5,3,0.036,44.07,182,0,0,4.1
ORD20240215-S02-03498,2024-02-15,S02,Cologne,North,In-Store,26-35,Bronze,Clothing,Kids,72.62,2,0.02,66.16,160,0,0,-0.8
ORD20240508-S09-09576,2024-05-08,S09,Frankfurt,East,Online,36-45,None,Electronics,Audio,230.07,4,0.049,247.82,121,0,0,18.1
ORD20240724-S03-11849,2024-07-24,S03,Cologne,North,In-Store,36-45,None,Electronics,Accessories,1078.01,5,0.047,1030.72,185,0,0,19.9
ORD20240501-S08-10581,2024-05-01,S08,Munich,South,Online,36-45,None,Beauty,Makeup,47.44,5,0.024,46.73,187,0,1,16.0
ORD20240813-S08-05062,2024-08-13,S08,Frankfurt,West,In-Store,26-35,None,Clothing,Women,84.22,4,0.278,96.14,162,1,0,21.8
ORD20240706-S09-11675,2024-07-06,S09,Frankfurt,West,In-Store,36-45,Bronze,Beauty,Haircare,120.0,3,0.245,134.8,245,1,0,17.7
ORD20240508-S06-10895,2024-05-08,S06,Frankfurt,South,Online,26-35,Silver,Home,Furniture,247.38,2,0.015,267.89,131,0,0,16.2
ORD20241128-S08-08209,2024-11-28,S08,Hamburg,South,Online,18-25,None,Grocery,Beverages,11.9,2,0.035,12.84,146,0,0,3.9
ORD20240403-S05-07155,2024-04-03,S05,Frankfurt,South,In-Store,36-45,None,Grocery,Fresh,28.55,3,0.037,31.36,79,0,0,10.4
ORD20241112-S09-01733,2024-11-12,S09,Berlin,West,In-Store,60+,None,Clothing,Women,150.0,2,0.019,164.99,171,0,0,7.5
ORD20240430-S07-05830,2024-04-30,S07,Frankfurt,South,In-Store,46-60,None,Beauty,Fragrance,42.41,1,0.028,45.5,146,0,0,10.3
ORD20240429-S07-07523,2024-04-29,S07,Hamburg,East,In-Store,60+,None,Electronics,Accessories,622.61,4,0.043,601.71,90,0,0,8.7
ORD20241031-S04-07888,2024-10-31,S04,Frankfurt,North,In-Store,26-35,None,Clothing,Kids,67.35,3,0.025,74.42,210,0,0,15.1
ORD20241108-S07-05363,2024-11-08,S07,Hamburg,East,In-Store,46-60,None,Grocery,Snacks,30.0,1,0.011,33.79,126,0,0,9.7
ORD20241209-S03-03351,2024-12-09,S03,Hamburg,North,In-Store,26-35,Bronze,Clothing,Accessories,115.64,4,0.041,111.62,154,0,0,2.9
ORD20241029-S03-04665,2024-10-29,S03,Hamburg,East,In-Store,60+,Silver,Electronics,Phones,944.89,5,0.008,987.47,116,0,0,16.6
ORD20240222-S01-06376,2024-02-22,S01,Hamburg,South,Online,46-60,Gold,Home,Decor,98.7,3,0.018,108.81,59,0,0,2.8
ORD20240515-S05-02586,2024-05-15,S05,Berlin,East,In-Store,46-60,None,Grocery,Pantry,9.73,4,0.028,9.62,146,0,0,20.4
ORD20240704-S04-10033,2024-07-04,S04,Frankfurt,South,Online,26-35,Bronze,Clothing,Accessories,116.76,4,0.046,124.21,198,0,0,20.8
ORD20240330-S10-03877,2024-03-30,S10,Frankfurt,East,In-Store,60+,None,Home,Decor,-195.83,20,0.039,188.98,180,0,0,9.7
ORD20240226-S09-03685,2024-02-26,S09,Berlin,South,In-Store,36-45,None,Electronics,Audio,1200.0,1,0.041,1142.85,186,0,0,1.2
ORD20240408-S01-04086,2024-04-08,S01,Berlin,East,Online,36-45,Bronze,Beauty,Makeup,69.26,1,0.035,79.52,141,0,0,13.8
ORD20240719-S07-04095,2024-07-19,S07,Hamburg,South,Online,18-25,Silver,Beauty,Fragrance,106.92,5,0.197,107.2,204,1,0,21.2
ORD20240329-S01-09915,2024-03-29,S01,Frankfurt,South,In-Store,26-35,None,Clothing,Women,102.25,2,0.041,96.87,126,0,1,3.8
ORD20240908-S10-10824,2024-09-08,S10,Frankfurt,North,In-Store,36-45,None,Electronics,Audio,477.78,5,0.005,456.5,173,0,0,21.7
ORD20241129-S08-02784,2024-11-29,S08,Cologne,South,Online,36-45,None,Electronics,Audio,473.03,5,0.005,476.02,135,0,0,6.5
ORD20240430-S10-06698,2024-04-30,S10,Cologne,South,Online,36-45,None,Grocery,Beverages,14.39,4,0.025,14.64,170,0,0,15.7
ORD20241021-S04-00091,2024-10-21,S04,Cologne,West,Online,26-35,None,Home,Decor,269.23,4,0.03,295.23,178,0,0,12.1
ORD20241117-S01-05646,2024-11-17,S01,Cologne,West,Online,60+,None,Grocery,Pantry,12.7,5,0.254,14.28,117,1,0,5.2
ORD20240611-S06-05094,2024-06-11,S06,Frankfurt,West,In-Store,36-45,None,Beauty,Makeup,107.88,2,0.006,111.27,164,0,0,19.1
ORD20240603-S03-10103,2024-06-03,S03,Hamburg,South,In-Store,60+,None,Home,Furniture,250.38,3,0.004,236.37,124,0,0,23.8
ORD20240629-S07-05603,2024-06-29,S07,Hamburg,West,Online,60+,None,Home,Decor,468.68,5,0.022,500.93,68,0,0,22.8
ORD20240623-S06-07324,2024-06-23,S06,Cologne,North,In-Store,18-25,None,Clothing,Women,57.77,2,0.049,65.08,105,0,0,20.7
ORD20240308-S06-09178,2024-03-08,S06,Frankfurt,West,In-Store,18-25,None,Beauty,Fragrance,56.7,5,0.006,52.36,100,0,0,7.7
ORD20240617-S04-08486,2024-06-17,S04,Frankfurt,East,In-Store,36-45,None,Grocery,Fresh,16.78,4,0.045,17.22,144,0,0,18.6
ORD20240509-S06-07234,2024-05-09,S06,Munich,West,In-Store,46-60,None,Grocery,Snacks,9.48,3,0.042,9.75,141,0,1,18.8
ORD20240228-S06-10097,2024-02-28,S06,Hamburg,West,Online,26-35,Bronze,Home,Furniture,112.03,5,0.013,105.04,168,0,0,2.1
ORD20240227-S07-09602,2024-02-27,S07,Hamburg,North,Online,36-45,Bronze,Beauty,Makeup,54.73,2,0.02,51.06,200,0,0,1.2
ORD20240214-S10-00783,2024-02-14,S10,Cologne,North,In-Store,26-35,None,Grocery,Beverages,5.43,2,0.048,5.62,168,0,0,0.8
ORD20240228-S02-03350,2024-02-28,S02,Cologne,South,In-Store,26-35,Bronze,Electronics,Accessories,491.2,4,0.043,488.45,126,0,0,-0.1
ORD20240609-S09-09682,2024-06-09,S09,Munich,South,In-Store,26-35,None,Clothing,Men,108.19,2,0.025,105.4,203,0,0,13.2
ORD20240209-S04-11152,2024-02-09,S04,Cologne,West,In-Store,36-45,None,Grocery,Snacks,20.12,2,0.318,21.37,201,1,0,-1.8
ORD20240729-S08-05479,2024-07-29,S08,Frankfurt,North,In-Store,26-35,None,Grocery,Snacks,26.98,3,0.031,26.12,146,0,0,17.1
ORD20240423-S02-10792,2024-04-23,S02,Hamburg,North,Online,36-45,Bronze,Beauty,Makeup,45.35,2,0.025,42.72,144,0,0,9.5
ORD20240709-S05-05084,2024-07-09,S05,Hamburg,South,In-Store,18-25,Silver,Home,Appliances,403.18,3,0.039,371.24,175,0,0,22.1
ORD20240721-S07-00307,2024-07-21,S07,Berlin,East,In-Store,18-25,None,Home,Decor,416.58,4,0.035,445.64,119,0,0,21.5
ORD20241106-S08-09253,2024-11-06,S08,Frankfurt,North,In-Store,36-45,Silver,Home,Furniture,244.74,3,0.047,273.86,179,0,0,8.9
ORD20240716-S05-02350,2024-07-16,S05,Berlin,West,Online,46-60,None,Electronics,Phones,471.23,2,0.017,440.33,141,0,0,22.3
ORD20241012-S06-00601,2024-10-12,S06,Hamburg,West,In-Store,36-45,Bronze,Home,Kitchen,485.0,5,0.029,526.39,117,0,0,19.6
ORD20241101-S02-06440,2024-11-01,S02,Cologne,East,Online,26-35,Silver,Unknown/—,Audio,2523.35,0,0.164,519.02,135,1,0,6.2
ORD20240907-S10-09340,2024-09-07,S10,Munich,West,In-Store,46-60,None,Grocery,Fresh,21.09,4,0.045,19.11,172,0,0,17.4
ORD20240123-S06-02981,2024-01-23,S06,Frankfurt,West,In-Store,18-25,Bronze,Beauty,Skincare,55.67,2,0.017,57.18,200,0,0,-3.6
ORD20241227-S05-10174,2024-12-27,S05,Munich,East,Online,26-35,Silver,Clothing,Men,108.19,4,0.05,119.18,151,0,0,2.6
ORD20240610-S08-06961,2024-06-10,S08,Berlin,West,In-Store,26-35,Gold,Beauty,Skincare,76.54,5,0.065,73.97,181,1,0,14.1
ORD20240506-S01-09108,2024-05-06,S01,Frankfurt,West,In-Store,26-35,Bronze,Electronics,Phones,827.95,2,0.048,815.76,108,0,0,16.0
ORD20240113-S07-05068,2024-01-13,S07,Hamburg,West,Online,36-45,None,Electronics,Accessories,1200.0,2,0.007,1101.08,170,0,0,1.7
ORD20240208-S09-07808,2024-02-08,S09,Hamburg,South,In-Store,26-35,None,Grocery,Beverages,25.69,1,0.024,26.6,135,0,0,-0.9
ORD20241203-S01-03844,2024-12-03,S01,Frankfurt,West,In-Store,46-60,None,Unknown/—,Haircare,380.75,0,0.017,81.74,122,0,0,1.1
ORD20241124-S02-00094,2024-11-24,S02,Berlin,South,Online,36-45,Silver,Clothing,Kids,33.86,5,0.26,32.3,223,1,0,4.3
ORD20240721-S07-04196,2024-07-21,S07,Cologne,South,In-Store,46-60,Bronze,Home,Appliances,370.44,1,0.016,425.98,215,0,0,23.1
ORD20241110-S08-01291,2024-11-10,S08,Cologne,North,Online,46-60,None,Electronics,Accessories,1039.28,2,0.315,990.78,109,1,0,9.6
ORD20240512-S10-00997,2024-05-12,S10,Munich,South,In-Store,36-45,None,Home,Kitchen,-600.0,10,0.033,587.3,155,0,0,12.4
ORD20240909-S10-04886,2024-09-09,S10,Cologne,South,In-Store,60+,None,Clothing,Accessories,66.56,3,0.016,60.25,203,0,0,18.5
ORD20240421-S01-04745,2024-04-21,S01,Cologne,South,In-Store,36-45,None,Home,Appliances,365.69,5,0.045,415.48,187,0,0,4.7
ORD20240704-S09-07049,2024-07-04,S09,Berlin,West,In-Store,26-35,Bronze,Electronics,Audio,846.94,2,0.014,793.13,137,0,0,22.8
ORD20240106-S07-07226,2024-01-06,S07,Hamburg,West,In-Store,36-45,Silver,Clothing,Kids,150.0,3,0.036,150.42,125,0,0,0.3
ORD20240221-S09-01089,2024-02-21,S09,Munich,West,In-Store,18-25,None,Home,Furniture,192.24,5,0.045,213.69,171,0,0,4.3
ORD20241105-S04-04856,2024-11-05,S04,Frankfurt,East,In-Store,36-45,Silver,Clothing,Accessories,132.04,5,0.04,134.01,217,0,0,11.2
ORD20240502-S10-03995,2024-05-02,S10,Berlin,East,Online,26-35,Bronze,Clothing,Women,61.06,5,0.043,61.54,166,0,0,13.3
ORD20240621-S01-09381,2024-06-21,S01,Cologne,North,In-Store,60+,Bronze,Beauty,Skincare,48.67,4,0.043,46.03,156,0,0,21.4
ORD20240808-S02-09765,2024-08-08,S02,Hamburg,East,Online,18-25,None,Grocery,Beverages,4.71,2,0.041,4.4,124,0,0,22.3
ORD20240506-S07-11116,2024-05-06,S07,Berlin,West,In-Store,18-25,Bronze,Home,Decor,600.0,3,0.028,614.6,174,0,0,15.0
ORD20240304-S08-06344,2024-03-04,S08,Berlin,East,In-Store,26-35,Silver,Clothing,Kids,30.95,1,0.028,35.06,121,0,0,5.6
ORD20240818-S08-11346,2024-08-18,S08,Cologne,West,In-Store,36-45,None,Clothing,Accessories,-43.45,-10,0.02,41.07,194,0,0,25.2
ORD20240603-S03-10515,2024-06-03,S03,Berlin,West,In-Store,36-45,None,Home,Furniture,305.33,5,0.037,320.59,176,0,0,22.2
ORD20240414-S03-07201,2024-04-14,S03,Hamburg,South,Online,26-35,Bronze,Clothing,Women,99.41,3,0.033,106.11,174,0,0,15.3
ORD20240429-S10-10050,2024-04-29,S10,Cologne,East,In-Store,26-35,Bronze,Grocery,Beverages,9.83,4,0.048,9.65,178,0,0,11.8
ORD20240622-S10-07065,2024-06-22,S10,Frankfurt,North,In-Store,26-35,Silver,Beauty,Skincare,101.18,4,0.019,91.06,116,0,0,19.0
